short_title;title;review_reference
ARUNDEL;ARUNDEL. BY THE AUTHOR OF THE OBSERVER.;"CR 67: 78-9 (Jan 1789); MR 80: 332-5 (Mar 1789); AF II: 955."
ZELIA IN THE DESERT;"ZELIA IN THE DESERT. FROM THE FRENCH. BY THE LADY WHO TRANSLATED ""ADELAIDE AND THEODORE;"" AND ""ANECDOTES OF HENRY IV. OF FRANCE."" IN THREE VOLUMES.";"MR 81: 363-4 (Sept 1789); AF II: 999."
ZELIE IN THE DESERT;ZELIE IN THE DESERT: OR, THE FEMALE CRUSOE. TRANSLATED FROM THE FRENCH.;"CR 67: 397 (May 1789); AF II: 999."
THE RECLUSE;THE RECLUSE: OR, HISTORY OF LADY GERTRUDE LESBY. IN TWO VOLUMES. DEDICATED (BY PERMISSION) TO HER GRACE THE DUTCHESS OF RUTLAND. BY MISS ESTHER FINGLASS.;"CR 67: 153-4 (Feb 1789); MRn.s. 3: 90 (Sept 1790);AF II: 1444."
THE SON OF ETHELWOLF;THE SON OF ETHELWOLF: AN HISTORICAL TALE. IN TWO VOLUMES. BY THE AUTHOR OF ALAN FITZ-OSBORNE, &C.;"CR 68: 74 (July 1789); MR 81: 239-41 (Sept 1789); AF II: 1543."
HARTLY HOUSE;HARTLY HOUSE, CALCUTTA. IN THREE VOLUMES.;"CR 68: 164 (Aug 1789); MR n.s. 1: 332 (Mar 1790);AF II: 1605."
LOUIS AND NINA;"LOUIS AND NINA; OR, AN EXCURSION TO YVERDUN. IN TWO VOLUMES.";"CR68:251 (Sept 1789);MRn.s. l: 109(Jan 1790);AFII: 1678."
THE YOUNG WIDOW;"THE YOUNG WIDOW; OR, THE HISTORY OF CORNELIA SEDLEY, IN A SERIES OF LETTERS.";"CR 68: 74-5 (July 1789); MR n.s. 1: 332-3 (Mar 1790); AF II: 1861."
ROSENBERG;ROSENBERG: A LEGENDARY TALE. BY A LADY. IN TWO VOLUMES.;"CR 68: 408 (Nov 1789); AF II: 2086."
*THE COUNTESS OF HENNEBON;*THE COUNTESS OF HENNEBON, AN HISTORICAL NOVEL, IN THREE VOLUMES. BY THE AUTHOR OF THE PRIORY OF ST. BERNARD.;CR 68: 408-9 (Nov 1789).
SENTIMENTAL LOVE ILLUSTRATED IN CHARMIDES AND THEONE;SENTIMENTAL LOVE ILLUSTRATED IN CHARMIDES AND THEONE, AND ASE-NEITHA, TWO ANCIENT TALES. TO WHICH IS ADDED, ELYSIUM, A PRELUDE. THE WHOLE TRANSLATED FROM THE GERMAN.;
THE INNOCENT FUGITIVE;"THE INNOCENT FUGITIVE; OR MEMOIRS OF A LADY OF QUALITY.";"CR68: 164 (Aug 1789);MRn.s.1: 332 (Mar 1790);AFII: 2192."
LORD WALFORD;LORD WALFORD. A NOVEL. IN TWO VOLUMES. BY L. L. ESQ.;"CR 68: 328 (Oct 1789); MR n.s. 1: 449 (Apr 1790); AF II: 2544."
*JULIUS;"*JULIUS; OR, THE NATURAL SON: TRANSLATED FROM THE FRENCH.";"CR 69: 356 (Mar 1790); MR n.s. 2: 462-3 (Aug 1790); AF II: 2332."
*CALISTA;*CALISTA, A NOVEL, BY MRS. JOHNSON, AUTHOR OF RETRIBUTION, GAMESTERS, &C.;"CR 68: 327 (Oct 1789); AF II: 2654."
ARGUS;"ARGUS; THE HOUSE-DOG AT EADLIP. MEMOIRS IN A FAMILY CORRESPONDENCE, BY THE AUTHOR OF CONSTANCE AND THE PHAROS. IN THREE VOLUMES.";"CR 67: 396-7 (May 1789); MR 81: 77-8 (July 1789); AF II: 2753."
ZELUCO;ZELUCO. VARIOUS VIEWS OF HUMAN NATURE, TAKEN FROM LIFE AND MANNERS, FOREIGN AND DOMESTIC. IN TWO VOLUMES.;"CR 67: 505-6 (App [June/July 1789]); MR 80: 511-15 (June 1789); AF II: 2936."
A FRIEND OF VIRTUE;A FRIEND OF VIRTUE. A NOVEL. FROM THE FRENCH. BY THE TRANSLATOR OF THE EFFECTS OF THE PASSIONS. IN THREE VOLUMES.;"CR 67: 554 (App [June/July 1789)); AF II: 1534."
*HEERFORT AND CLARA;*HEERFORT AND CLARA. FROM THE GERMAN.;"CR 68: 494 (Dec 1789); MRn.s. 2: 465 (Aug 1790);AF II: 1878."
THE SOLITARY CASTLE;THE SOLITARY CASTLE, A ROMANCE OF THE EIGHTEENTH CENTURY. BY THE AUTHOR OF THE VILLAGE OF MARTINDALE. IN TWO VOLUMES.;"MR n.s. 1: 449 (Apr 1790); AF II: 4173."
THE CHILD OF WOE;THE CHILD OF WOE. A NOVEL. BY MRS. ELIZABETH NORMAN. IN THREE VOLUMES.;"CR67: 237 (Mar 1789);MR81: 364 (Oct 1789) ;AFII: 3076."
* ALMERIA BELMORE;* ALMERIA BELMORE. IN A SERIES OF LETTERS. BY A LADY. (DWR).;"MR n.s. 1: 331 (Mar 1790); AF II: 3098."
HONORIA SOMMERVILLE;HONORIA SOMMERVILLE: A NOVEL. IN FOUR VOLUMES.;"CR 67: 398 (May 1789); MR 81: 78-9 (July 1789); AF II: 3641."
THE SPECTRE;THE SPECTRE. ORNAMENTED WITH A FRONTISPIECE.;"CR 68: 76 (July 1789); MR 80: 552 (June 1789); AF II: 4206."
THE CASTLES OF ATHLIN AND DUNBAYNE;THE CASTLES OF ATHLIN AND DUNBAYNE. AN HIGHLAND STORY.;"CR68:251 (Sept 1789);MR81: 563 (Dec 1789);AFII:3671."
COMETILLA;"COMETILLA; OR VIEWS OF NATURE. BY POLLINGROVE ROBINSON, ESQ. VOL. I. BEING AN INTRODUCTION TO ASTRONOMY.";
THE VICAR OF LANSDOWNE;"THE VICAR OF LANSDOWNE; OR, COUNTRY QUARTERS. A TALE. BY MARIA REGINA DALTON. IN TWO VOLUMES.";"CR 67: 475 (June 1789); MR n.s. 1: 222-3 (Feb 1790); AF II: 3853."
THE TEST OF HONOUR;THE TEST OF HONOUR. A NOVEL. BY A YOUNG LADY.;"CR68: 408 (Nov 1789); MRn.s. 1: 331-2 (Mar 1790); AF II: 3885."
THE BELLE WIDOWS;THE BELLE WIDOWS: WITH CHARACTERISTIC SKETCHES OF REAL PERSONAGES AND LIVING CHARACTERS. A NOVEL, INSCRIBED TO THE BEAU-MONDE. WITH A PREFACE BY THE EDITOR OF THE LETTERS OF CHARLOTTE DURING HER CONNEXION WITH WERTER.;"CR 68: 495 (Dec 1789); AF II: 3893."
THE HERMIT OF SNOWDEN;THE HERMIT OF SNOWDEN: OR MEMOIRS OF ALBERT AND LAVINIA. TAKEN FROM A FAITHFUL COPY OF THE ORIGINAL MANUSCRIPT, WHICH WAS FOUND IN THE HERMITAGE, BY THE LATE REV. DR. L--AND MR.--, IN THE YEAR 17**.;"CR68: 163 (Aug 1789);AFII: 3910."
ETHELINDE;ETHELINDE, OR THE RECLUSE OF THE LAKE. BY CHARLOTTE SMITH. IN FIVE VOLUMES.;"CRn.s. 3: 57-61 (Sept 1791);MRn.s. 2: 161-5 (June 1790);AFII: 4139."
MAMMUTH;"MAMMUTH; OR, HUMAN NATURE DISPLAYED ON A GRAND SCALE: IN A TOUR WITH THE TINKERS, INTO THE INLAND PARTS OF AFRICA. BY THE MAN IN THE MOON. IN TWO VOLUMES.";"CR 70: 97-8 (July 1790); MR n.s. 2: 338-9 ( 1790)."
*THE TRIUMPH OF FRIENDSHIP;"*THE TRIUMPH OF FRIENDSHIP; OR THE HISTORY OF CHARLES COURTNEY, AND MISS JULIA MELVILLE. BY JANE TIMBURY.";"CR68: 251 (Sept 1789); MR81: 364 (Oct 1789)."
EARL STRONGBOW;EARL STRONGBOW: OR, THE HISTORY OF RICHARD DE CLARE AND THE BEAUTIFUL GERALDA. IN TWO VOLUMES.;"CR 67: 330-3 (May 1789); MR n.s. 2: 414-15 (Aug 1790); AF II: 4774."
ADELINE;"ADELINE; OR THE ORPHAN. A NOVEL. IN THREE VOLUMES.";
ARLEY;"ARLEY; OR, THE FAITHLESS WIFE. A NOVEL, IN TWO VOLUMES.";"CR 70: 96-7 (July 1790); AF II: 137."
ARULIA;"ARULIA; OR, THE VICTIM OF SENSIBILITY: A NOVEL, BY A YOUNG LADY. IN TWO VOLUMES.";"CR 69: 357 (Mar 1790); AF II: 148."
THE BARON OF MANSTOW;THE BARON OF MANSTOW, A NOVEL, FROM THE GERMAN. IN TWO VOLUMES.;"CRn.s. 1: 350-1 (Mar 1791); AF II: 224."
*THE BRITISH KNIGHT ERRANT;*THE BRITISH KNIGHT ERRANT.;
CHARLES ALTMAN;"CHARLES ALTMAN; OR THE SON OF NATURE. FROM THE GERMAN. IN TWO VOLUMES.";AR 7: 462 (Aug 1790).
*DE MONTMORENCY;*DE MONTMORENCY. A NOVEL FOUNDED ON A RECENT FACT, INTERSPERSED WITH A TRANSLATION OF AN ORIGINAL MANUSCRIPT FOUND IN THE BASTILE.;"CR 69: 356-7 (Mar 1790); AF II: 1022."
*EDMUND;"*EDMUND; OR, THE CHILD OF THE CASTLE, A NOVEL.";"CR 70: 454 (Oct 1790); AF II: 1213."
ELOISA DE CLAIRVILLE;ELOISA DE CLAIRVILLE. AN HISTORICAL NOVEL, WRITTEN DURING THE REIGN OF PHILIP AUGUSTUS, KING OF FRANCE. IN TWO VOLUMES.;"CR 70: 454 (Oct 1790); AF II: 1260."
THE FAIR CAMBRIANS;THE FAIR CAMBRIANS. A NOVEL. IN THREE VOLUMES.;"CR69:712(June 1790);AFII: 1357."
FOSCARI;FOSCARI, A VENETIAN TALE, FOUNDED ON FACTS.;"CR n.s. 1: 350 (Mar 1791); AF II: 1488."
THE FREAKS OF FORTUNE;"THE FREAKS OF FORTUNE; OR, MEMOIRS OF CAPTAIN CONYERS. A NOVEL.";
GABRIELLE DE VERGY;"GABRIELLE DE VERGY, AN HISTORIC TALE. IN TWO VOLUMES. BY THE AUTHOR OF ANTHONY LEGER, ESQ; OR, THE MAN OF SHIFTS.";"CR 70: 219-20 (Aug 1790); AF II: 1547."
LAURA;"LAURA; OR, ORIGINAL LETTERS. IN TWO VOLUMES. A SEQUEL TO THE ELOISA OF J. J. ROUSSEAU, FROM THE FRENCH.";"CR 70: 218-19 (Aug 1790); AF II: 2474."
LOUISA;"LOUISA; OR, THE REWARD OF AN AFFECTIONATE DAUGHTER. A NOVEL, IN TWO VOLUMES.";"CR 69: 118 (Jan 1790); MR n.s. 3: 475 (Dec 1790); AF II: 2607."
*LUCINDA HARTLEY;"*LUCINDA HARTLEY; OR, THE ADVENTURES OF AN ORPHAN, CONTAINING THE HUMOROUS HISTORY OF MR. GOODWIN. BY THE AUTHOR OF LORD WINWORTH, &C.";"CR 69: 476 (Apr 1790);AF II: 2630."
LUCRETIA;"LUCRETIA; OR, VIRTUE THE BEST DOWRY. IN TWO VOLUMES.";"MR n.s. 3: 475 (Dec 1790); AF II: 2632."
THE MAID OF KENT;THE MAID OF KENT. 1790;"CR69: 592 (May 1790); MRn.s. 3: 90 (Sept 1790);AF II: 2690."
MEMOIRS AND OPINIONS OF MR;MEMOIRS AND OPINIONS OF MR. BLENFIELD. BY THE AUTHOR OF TALES OF SYMPATHY.;"CR 69: 592 (May 1790); AF II: 2820."
MEMOIRS OF MARIA;MEMOIRS OF MARIA, A PERSIAN SLAVE.;"CR n.s. 1: 349-50 (Mar 1791 ); MR n.s. 4: 229 (Feb 1791 ); AF II: 2827."
NORMAN AND BERTHA;"NORMAN AND BERTHA; OR, EXALTED ATTACHMENT. A NOVEL.. IN TWO VOLUMES. WRITTEN BY A LADY.";"CR 70: 97 (July 1790); AF II: 3077."
*THE ORPHAN MARION;*THE ORPHAN MARION: OR, THE PARENT REWARDED.;"CR n.s. 1: 469 (Apr 1791); MRn.s. 4: 228 (Feb 1791 ); AF II: 3182."
THE PERFIDIOUS GUARDIAN;"THE PERFIDIOUS GUARDIAN; OR, VICISSITUDES OF FORTUNE, EXEMPLIFIED IN THE HISTORY OF LUCRETIA LAWSON. IN TWO VOLUMES.";"CR 70: 455 (Oct 1790); AF II: 3307."
THE PERJURED LOVER;"THE PERJURED LOVER, OR THE HISTORY OF THOMAS BEAUMONT, AN OXFORD STUDENT, AND MISS LUCIA BANNISTER, SHEWING HOW AFTER THE DEATH OF HER FATHER, SHE WAS UNDER THE GUARDIANSHIP OF MR. SLYMAN, WHO WISHING TO GET HER FORTUNE, (WHICH WAS FIVE THOUSAND POUNDS) INTO HIS POSSESSION, COURTED AND MARRIED HER MOTHER, AND IN A SHORT TIME, BY CRUEL USAGE, BROKE HER HEART. MISS LUCIA BECOMES ACQUAINTED WITH MR. FRIENDLY, HAS MANY SUITORS, BUT NONE OF THEM SUCCEED IN HER GOOD GRACES, AS HER FORTUNE SEEMS TO BE THEIR ONLY OBJECT. MR. BEAUMONT, A RELATION OF MR. FRIENDLY'S, ARRIVES FROM THE UNIVERSITY, HIS AGREEABLE CONVERSATION ENGAGES LUCIA, HE WRITES TO HER, AND TAKES EVERY METHOD WHICH CUNNING CAN MAKE USE OF TO RUIN HER; HE LEAVES HER AFTER MANY PROTESTATIONS TO MARRY HER, BUT IN THE END TOTALLY FORSAKES HER. SHE PROVES WITH CHILD, HER FATHER-IN-LAW DIES AFTER HAVING SQUANDERED AWAY HER FORTUNE AT A GAMING TABLE, LUCIA TAKES LODGINGS IN LONDON, IS DELIVERED OF A BOY, WHICH IS GOT INTO THE FOUNDLING HOSPITAL. LUCIA TAKES TO DRINKING; DIES OF A CONSUMPTION; AND BEAUMONT HAVING GOT A COMMISSION IN THE ARMY, IS KILLED IN A DRUNKEN BRAWL, AND CONFESSES IT IS DIVINE JUSTICE FOR HAVING BEEN GUILTY OF SEDUCTION AND PERJURY. TO WHICH IS ADDED, ORIGINAL LETTERS FOUND AFTER THE DEATH OF LUCIA, IN A BOX, IN HER APARTMENTS.";
SEMPRONIA;SEMPRONIA. IN THREE VOLUMES.;"CR 70: 698-9 (Dec 1790); MRn.s. 4: 343 (Mar 179l);AF II: 4013."
*THE SLAVE OF PASSION;*THE SLAVE OF PASSION: OR, THE FRUITS OF WERTER. A NOVEL.;EngR 16: 67 (July 1790).
SYDNEY AND EUGENIA;SYDNEY AND EUGENIA: A NOVEL. IN TWO VOLUMES. BY A LADY.;"CR 70: 97 (July 1790); AF II: 4328."
*TALES OF IMAGINATION ON MORAL AND INTERESTING SUBJECTS;*TALES OF IMAGINATION ON MORAL AND INTERESTING SUBJECTS: CONTAINING, THE DRUID. THE MANDARIN. THE HIGHLANDERS. THE HOTTENTOT. THE SWISS MINER. THE VENETIAN.;"CR 70: 220 (Aug 1790); AF II: 4340."
A TRIP TO WEYMOUTH;A TRIP TO WEYMOUTH. A NOVEL. IN TWO VOLUMES.;"CR n.s. 3: 235 (Oct 1791); AF II: 4528."
THE TRIUMPHS OF CONSTANCY;THE TRIUMPHS OF CONSTANCY: A NOVEL. IN A SERIES OF LETTERS.;CRn.s. 1: 471 (Apr 1791).
VALENTINE;VALENTINE. A NOVEL. IN TWO VOLUMES.;"CR 69: 477 (Dec 1790); AF II: 4587."
*THE VICTIM OF A VOW;"*THE VICTIM OF A VOW; OR THE DANGERS OF DUPLICITY.";"CRn.s. 3: 356 (Nov 1791); MRn.s. 5: 467 (Aug 179l);AFII:4612."
THE WHIM;"THE WHIM; OR, THE MUTUAL IMPRESSION. A NOVEL. IN TWO VOLUMES. BY A LADY.";CRn.s. 2: 355 (July 1791).
THE WREATH OF FRIENDSHIP;"THE WREATH OF FRIENDSHIP; OR, A RETURN FROM INDIA. A NOVEL, IN A SERIES OF LETTERS. IN THREE VOLUMES.";EurM 17: 344 (May 1790).
ANECDOTES OF THE LIFE;"ANECDOTES OF THE LIFE, ADVENTURES, AND VINDICATION, OF A MEDICAL CHARACTER, METAPHORICALLY DEFUNCT. TO WHICH ARE PREFIXED OR SUBJOINED A DEDICATION TO CERTAIN RESPECTABLE PERSONAGES; A CURIOUS DRAMATIC DIALOGUE; AND AN APPENDIX, CONTAINING AN EXPOSTULATORY EPISTLE, ADDRESSED TO COUNSELLOR ABSQUE, ON HIS CONDUCT AT A LATE TRIAL AT WINCHESTER, SUNDRY VOUCHERS, AND SPECIMENS OF LATIN AND ENGLISH POETRY. PUBLISHED FOR THE BENEFIT OF THE TIN MINERS OF CORNWALL, BY BENJAMIN GOOSEQUILL AND PETER PARAGRAPH.";ARS: 101-102 (Sept 1790).
THE STATUE ROOM;THE STATUE ROOM: AN HISTORICAL TALE. BY MISS BALLIN. IN TWO VOLUMES.;"CR 69: 477 (Apr 1790); AF II: 205."
ELLEN WOODLEY;"ELLEN WOODLEY. A NOVEL, IN TWO VOLUMES. BY MRS. BONHOTE, AUTHOR OF PARENTAL MONITOR. OLIVIA; OR, DESERTED BRIDE. AND DARNLEY VALE; OR, EMILIA FITZROY.";"CR 69: 592 (May 1790); MR n.s. 2: 351 (July 1790); AF II: 402."
THE HISTORY OF CHARLES MANDEVILLE;THE HISTORY OF CHARLES MANDEVILLE. IN TWO VOLUMES. A SEQUEL TO LADY JULIA, BY MRS. BROOKE.;"CR 69: 476 (Apr 1790); AF II: 481."
YOUNG GRANDISON;YOUNG GRANDISON. A SERIES OF LETTERS FROM YOUNG PERSONS TO THEIR FRIENDS. TRANSLATED FROM THE DUTCH OF MADAME DE CAMBON. WITH ALTERATIONS· AND IMPROVEMENTS. IN TWO VOLUMES.;"MRn.s. 3: 222-3 (Oct 1790);AF II: 1779."
THE DEVIL UPON TWO STICKS IN ENGLAND;THE DEVIL UPON TWO STICKS IN ENGLAND. BEING A CONTINUATION OF LE DIABLE BOITEUX OF LE SAGE [vols. 1-4]. THE DEVIL UPON TWO STICKS IN ENGLAND: BEING A CONTINUATION OF LE DIABLE BOITEUX OF LE SAGE. VOL. V / VOL. VI.;"CR 70: 219 (Aug 1790);AF II: 805; vols. 5-6 AR 13: 216--18 (June 1792); AF II: 806. C Rom.76.100- [vols.1-4}, BL 12613.bb.8 [vols. 5-6]; EM 2009: 2 [vols. 1-4], EM 200: 3 [vols. 5-6]; ESTC t063646 (BI BL, D; NA CaOLU, PU, ViU &c.) [vols. 1-4], ESTC t129268 (BI C, D; NA CaAEU, CLU-S/C, NjP &c.) [vols. 5-6]."
1790;  1790: 43 GOMERSALL, {A}[nn]. THE CITIZEN, A NOVEL. IN TWO VOLUMES, BY MRS. GOMERSALL OF LEEDS, AUTHOR OF ELEONORA.;"CR n.s. 2: 355 (July 1791); MR n.s. 3: 223 (Oct 1790); AF II: 1663."
BLANSAY;BLANSAY. A NOVEL. TAKEN FROM THE FRENCH BY THE AUTHOR OF VICTORINA, LOUISA, AND NINA, &C. IN TWO VOLUMES.;"CR 69: 357 (Mar 1790); AF II: 1676."
VICTORINA;VICTORINA, A NOVEL. BY THE AUTHOR OF BLANSAY, LOUIS AND NINA, &C. TRANSLATED FROM THE FRENCH.;"CR69: 713 (June 1790);AFII: 1680."
PLEXIPPUS;PLEXIPPUS: OR, THE ASPIRING PLEBEIAN.;"CR 70: 97 (July 1790); MRn.s. 5: 225 (June 179l);AFII: 1697."
*CHARLES HENLEY;*CHARLES HENLEY: OR, THE FUGITIVE RESTORED.;"CR 70: 219 (Aug 1790); MR n.s. 4: 92 (Jan 1791); AF II: 1712."
THE CONFLICT;THE CONFLICT. A SENTIMENTAL TALE IN A SERIES OF LETTERS.;
LOUISA;"LOUISA. A NOVEL. IN THREE VOLUMES. BY THE AUTHOR OF MELISSA AND MARCIA; OR, THE SISTERS.";"CR 70: 96 (July 1790); AF II: 1928."
DINARBAS;"DINARBAS; A TALE: BEING A CONTINUATION OF RASSELAS, PRINCE OF ABYSSINIA.";"CR n.s. 3: 116 (Sept 1791); MR n.s. 8: 106 (May 1792); AF II: 2415."
YOUNG HOCUS;YOUNG HOCUS, OR THE HISTORY OF JOHN BULL, DURING THE YEARS 1783, 1784, 1785, 1786, 1787, 1788, 1789. A NOVEL. BY SIR WL-, K-. WITH NOTES, CRITICAL AND EXPLANATORY, BY THE FOLLOWING PERSONS: DUKES. GL-C-ST-R, D-RS-T, GR-FT-N, LDS, R-CHM-ND, ATH-L. MARQUESSES. B-CK-NGH-M, L-NDSD-WN-. LORDS. CH-ST-RF-LD, M-RN-NGT-N, W-STM-R-L-ND, F. C-MPB-LL, GR-SV-N-R, S-DN-Y, TH-RL-W, H-WK-SB-RY, G-LL-W-Y, B-LGR-V-, HW-. M-LGR-V-, C-MD-N, W-NCH-LS-, H-D. BISHOP. DR. PR-TTYMN. BARONETS. J. M-LL-R, J. M-WB-Y, W. H-W-, R. P. ARD-N, G. P. T-RN-R. KNIGHTS. W. CH-MB-RS, W. L-W-S, IS-C H-RD-. ESQUIRES. H. D-ND-S, W. GR-NV-LL-, B. W-TS-N,J. SC-TT,J. CH-RCHLL, J. H. T-K-, J. R-LL-, J. R-B-NS-N, P. L. M-SUR-R, J. B-RR-, H. B-FY, G. R-S-, J. M'N-M-, J. W-LK-S, G. P-TT, A. ADD-NGT-N, J. P-TT, C. L-N-X, J. D-RNF-RD, J. B-T-S. LADIES. S-L-SB-RY, W-LL-CE, MRS. PZZ-, MAD. SCHW-LL-NB-RG, MRS. N-SB-TT, GENTLEMEN. MR. C-P-L. CHEESE-MONG. MR. P-RS-N, DOOR-KEEP. &C. &C. &C. &C.;
INTEGRITY;INTEGRITY, OR THE HISTORY OF SOPHIA FRANCOURT. FROM THE FRENCH. IN TWO VOLUMES.;"CR69: 713 (June 1790);AFII: 2196."
THE NEGRO EQUALLED BY FEW EUROPEANS;THE NEGRO EQUALLED BY FEW EUROPEANS. TRANSLATED FROM THE FRENCH.;"CR 70: 454 (Oct 1790);AF II: 2479."
EUPHEMIA;EUPHEMIA. BY MRS. CHARLOTTE LENNOX. IN FOUR VOLUMES.;"CR 70: 81-3 (July 1790); MR n.s. 3: 89-90 (Sept 1790); AF II: 2522."
MONMOUTH;MONMOUTH: A TALE, FOUNDED ON HISTORIC FACTS. INSCRIBED TO HIS GRACE THE DUKE OF BUCCLEUGH. BY ANNA MARIA JOHNSON, AUTHOR OF CALISTA, A NOVEL, &C. IN THREE VOLUMES.;EngR 16: 68 (July 1790).
ARNOLD ZULIG;ARNOLD ZULIG, A SWISS STORY. BY THE AUTHOR OF CONSTANCE, PHAROS, AND ARGUS.;"512 1790 CR 69: 593 (May 1790}; MR n.s. 2: 353 (July 1790); AF II: 2754."
DANGERS OF COQUETRY;DANGERS OF COQUETRY. A NOVEL. IN TWO VOLUMES.;"EngR 17: 234-5 (Mar 1791); AF II: 3171."
THE HISTORY OF MISS MEREDITH;"THE HISTORY OF MISS MEREDITH; A NOVEL. DEDICATED BY PERMISSION, TO THE MOST NOBLE THE MARCHIONESS OF SALISBURY. BY MRS. PARSONS. IN TWO VOLUMES.";"CR 70: 219 (Aug 1790); MR n.s. 3: 90 (Sept 1790); AF II: 3234."
DELIA;DELIA, A PATHETIC AND INTERESTING TALE. IN FOUR VOLUMES.;"CR 69: 118 (Jan 1790); AF II: 3341."
RAYNSFORD PARK;RAYNSFORD PARK, A NOVEL. IN FOUR VOLUMES.;"CR 69: 357 (Mar 1790); AF II: 3643."
THE FATE OF VELINA DE GUIDOVA;THE FATE OF VELINA DE GUIDOVA. A NOVEL. IN THREE VOLUMES.;"CR 70: 96 (July 1790);AF II: 3677."
RADZIVIL;RADZIVIL. A ROMANCE. TRANSLATED FROM THE RUSS OF THE CELEBRATED M. WOCKLOW. IN THREE VOLUMES.;"CR 69: 118 (Jan 1790); AF II: 3678."
PICTURES OF LIFE;PICTURES OF LIFE: OR, A RECORD OF MANNERS, PHYSICAL AND MORAL, ON THE CLOSE OF THE EIGHTEENTH CENTURY. TRANSLATED FROM THE FRENCH. IN TWO VOLUMES.;"TCM 22: 460-1 (Oct 1790); AF II: 3743."
LAURENTIA;LAURENTIA. A NOVEL. IN TWO VOLUMES.;
HELENA;HELENA: OR, THE VICISSITUDES OF A MILITARY LIFE. IN TWO VOLUMES. BY AN OFFICER'S DAUGHTER.;
*ORIGINAL NOVELS;*ORIGINAL NOVELS, POEMS, AND ESSAYS. BY HARRIETT SQUIRREL.;EngR 15: 466 (June 1790).
THE LETTERS OF MARIA;"THE LETTERS OF MARIA; TO WHICH IS ADDED, AN ACCOUNT OF HER DEATH.";"CR 70: 698 (Dec 1790); MRn.s. 4: 355 (Mar 179l);AF II: 4280."
THE DENIAL;"THE DENIAL; OR, THE HAPPY RETREAT. A NOVEL. BY THE REV. JAMES THOMSON. IN THREE VOLUMES.";"CR n.s. 1: 471 (Apr 1791); MR n.s. 3: 400-2 (Dec 1790); AF II: 4460."
THE PHILANTHROPIC RAMBLER;THE PHILANTHROPIC RAMBLER. BY JANE TIMBURY, AUTHOR OF TOBIT, THE MALE COQUET, AND THE TRIUMPH OF FRIENDSHIP.;"MR n.s. 5: 225-6 (June 1791 ); AF II: 4483."
BELMONT CASTLE;BELMONT CASTLE: OR. SUFFERING SENSIBILITY. CONTAINING THE GENUINE AND INTERESTING CORRESPONDENCE OF SEVERAL PERSONS OF FASHION.;
THE ADVENTURES OF JOHN OF GAUNT;THE ADVENTURES OF JOHN OF GAUNT, DUKE OF LANCASTER. BY JAMES WHITE, ESQ. AUTHOR OF EARL STRONGBOW, CONWAY CASTLE, &C.;"CR 69: 713-14 (June 1790); MR n.s. 2: 416-22 (Aug 1790); AF II: 4771."
VILLEROY;"VILLEROY; OR, THE FATAL MOMENT: A NOVEL, IN THREE VOLUMES. BY A LADY.";"CR n.s. 3: 117 (Sept 1791); AF II: 4786."
JULIA;"JULIA, A NOVEL; INTERSPERSED WITH SOME POETICAL PIECES. BY HELEN-MARIA WILLIAMS. IN TWO VOLUMES.";"CR 69: 592-3 (May 1790); MR n.s. 2: 334-6 (July 1790); AF II: 4822."
*ADOLPHUS;"*ADOLPHUS; OR, THE UNNATURAL BROTHER, A NOVEL.";"CR n.s. 3: 117 (Jan 1791 ); AF II: 22."
THE ADVENTURES OF JOHN OF GAUNT;THE ADVENTURES OF JOHN OF GAUNT, DUKE OF LANCASTER. BY JAMES WHITE, ESQ. AUTHOR OF EARL STRONGBOW, CONWAY CASTLE, &C.;"CR69: 713-14 (June 1790); MRn.s. 2: 416-22 (Aug 1790); AF II: 4771."
VILLEROY;"VILLEROY; OR, THE FATAL MOMENT: A NOVEL, IN THREE VOLUMES. BY A LADY.";"CR n.s. 3: 117 (Sept 1791); AF II: 4786."
JULIA;"JULIA, A NOVEL; INTERSPERSED WITH SOME POETICAL PIECES. BY HELEN-MARIA WILLIAMS. IN TWO VOLUMES.";"CR 69: 592-3 (May 1790); MR n.s. 2: 334-6 (July 1790); AF II: 4822."
*ADOLPHUS;"*ADOLPHUS; OR, THE UNNATURAL BROTHER, A NOVEL.";"CR n.s. 3: 117 (Jan 1791); AF II: 22."
*THE ADVENTURES OF BOBBY LOUNGE;"*THE ADVENTURES OF BOBBY LOUNGE; OR, THE UNFORTUNATE LEVEE HAUNTER. RELATED BY HIMSELF, AS A REAL FACT (2ndEDN.).";
T;THE BLIND CHILD;"CR n.s. 4: 236 (Feb 1792); AF II: 613."
THE CHATEAU DE MYRELLE;THE CHATEAU DE MYRELLE, OR LAURA. A NOVEL.;"CR n.s. 2: 477 (Aug 1791); AF II: 673."
CONSCIOUS DUPLICITY;CONSCIOUS DUPLICITY. A NOVEL. IN TWO VOLUMES.;"CR n.s. 2: 355 (July 1791); AF II: 840."
THE DUCHESS OF YORK;THE DUCHESS OF YORK: AN ENGLISH STORY. IN TWO VOLUMES.;"CR n.s. 3: 117 (Sept 1791); MR n.s. 8: 339-40 (July 1792); AF II: 1163."
EDWARD;EDWARD: OR, SORROWS FROM SEPARATION. AN INTERESTING NARRATIVE, FOUNDED ON FACTS. IN TWO VOLUMES.;CR n.s. 2: 356 (July 1791 ).
